,m,delta_p,p_hat,p_min,pi,k,l,search_bound,n,i,cls,explicit_bound,implicit_bound
0,2.0,0.04,0.0,0.9,0.0,10000.0,3.0,3745.0,539.0,1.0,0.0,2878.231366242563,2879
1,2.0,0.04,0.0,0.9,0.011538462,10000.0,3.0,7642.0,1082.0,1.0,0.3,5873.941765152618,5874
2,2.0,0.04,0.0,0.9,0.023076924,10000.0,3.0,23404.0,3279.0,1.0,0.6,17988.948197689726,17989
3,2.0,0.04,0.0,0.9,0.034615386,10000.0,3.0,374467.0,51489.0,1.0,0.9,287823.34385702625,287824
4,2.0,0.08,0.0,0.9,0.0,10000.0,3.0,936.0,140.0,2.0,0.0,719.5578415606408,720
5,2.0,0.08,0.0,0.9,0.022222223,10000.0,3.0,1911.0,278.0,2.0,0.3,1468.4854349946452,1469
6,2.0,0.08,0.0,0.9,0.044444446,10000.0,3.0,5851.0,829.0,2.0,0.6,4497.236981963874,4498
7,2.0,0.08,0.0,0.9,0.06666667,10000.0,3.0,93617.0,12872.0,2.0,0.9,71955.84891631351,71956
8,2.0,0.12,0.0,0.9,0.0,10000.0,3.0,416.0,65.0,3.0,0.0,319.8034851380625,320
9,2.0,0.12,0.0,0.9,0.03214286,10000.0,3.0,849.0,127.0,3.0,0.3,652.6602234776403,653
10,2.0,0.12,0.0,0.9,0.06428572,10000.0,3.0,2600.0,373.0,3.0,0.6,1998.7723151188063,1999
11,2.0,0.12,0.0,0.9,0.09642857,10000.0,3.0,41607.0,5810.0,3.0,0.9,31980.339985715073,31981
12,2.0,0.16,0.0,0.9,0.0,10000.0,3.0,234.0,37.0,4.0,0.0,179.8894603901602,180
13,2.0,0.16,0.0,0.9,0.04137931,10000.0,3.0,478.0,73.0,4.0,0.3,367.12134511272524,368
14,2.0,0.16,0.0,0.9,0.08275862,10000.0,3.0,1463.0,214.0,4.0,0.6,1124.309099330774,1125
15,2.0,0.16,0.0,0.9,0.12413793,10000.0,3.0,23404.0,3255.0,4.0,0.9,17988.943340674377,17989
16,2.0,0.2,0.0,0.9,0.0,10000.0,3.0,150.0,24.0,5.0,0.0,115.1292546497025,116
17,2.0,0.2,0.0,0.9,0.05,10000.0,3.0,306.0,48.0,5.0,0.3,234.9576625504133,235
18,2.0,0.2,0.0,0.9,0.1,10000.0,3.0,936.0,140.0,5.0,0.6,719.5578415606404,720
19,2.0,0.2,0.0,0.9,0.15,10000.0,3.0,14979.0,2107.0,5.0,0.9,11512.92546497023,11513
20,2.0,0.24,0.0,0.9,0.0,10000.0,3.0,104.0,17.0,6.0,0.0,79.95087128451563,80
21,2.0,0.24,0.0,0.9,0.058064517,10000.0,3.0,212.0,34.0,6.0,0.3,163.16504553562336,164
